"","OPnRT","OPnR","destZone","oLat","oLong","dLat","dLong","Origin","Dest","Time_sec"
"1","T040",40,1330,44.97002339,-93.4213839,44.975461,-93.271821,"44.97002339+-93.4213839","44.975461+-93.271821",740
"2","T145",145,2013,44.92299566,-92.95909742,44.948402,-93.093526,"44.92299566+-92.95909742","44.948402+-93.093526",839
"3","T180",180,1330,44.97243909,-93.38988135,44.975461,-93.271821,"44.97243909+-93.38988135","44.975461+-93.271821",657
"4","T195",195,1330,44.96973225,-93.34986293,44.975461,-93.271821,"44.96973225+-93.34986293","44.975461+-93.271821",561
"5","T222",222,2013,44.9240201,-92.9581603,44.948402,-93.093526,"44.9240201+-92.9581603","44.948402+-93.093526",895
"6","T229",229,2013,44.92833423,-92.95819854,44.948402,-93.093526,"44.92833423+-92.95819854","44.948402+-93.093526",876
"7","T231",231,1330,45.19139988,-93.35100617,44.975461,-93.271821,"45.19139988+-93.35100617","44.975461+-93.271821",1651
"8","T244",244,1330,45.28358853,-93.54215617,44.975461,-93.271821,"45.28358853+-93.54215617","44.975461+-93.271821",2396
"9","T262",262,2013,44.95098862,-92.93839306,44.948402,-93.093526,"44.95098862+-92.93839306","44.948402+-93.093526",866
"10","T284",284,1330,45.23252252,-93.46123695,44.975461,-93.271821,"45.23252252+-93.46123695","44.975461+-93.271821",2112
"11","T298",298,1330,45.20719827,-93.3844823,44.975461,-93.271821,"45.20719827+-93.3844823","44.975461+-93.271821",1709
"12","T300",300,1330,45.3295865,-93.73096844,44.975461,-93.271821,"45.3295865+-93.73096844","44.975461+-93.271821",3052
"13","T307",307,2013,44.95161436,-92.86500599,44.948402,-93.093526,"44.95161436+-92.86500599","44.948402+-93.093526",869
"14","T534",534,1330,45.39257834,-93.87606186,44.975461,-93.271821,"45.39257834+-93.87606186","44.975461+-93.271821",3132
"15","T564",564,1330,45.55409554,-94.1253762,44.975461,-93.271821,"45.55409554+-94.1253762","44.975461+-93.271821",4053
"16","T704",704,1330,44.97055153,-93.37131292,44.975461,-93.271821,"44.97055153+-93.37131292","44.975461+-93.271821",704
"17","T705",705,1330,44.97172409,-93.44666182,44.975461,-93.271821,"44.97172409+-93.44666182","44.975461+-93.271821",880
"18","T714",714,1330,44.98705467,-93.41876031,44.975461,-93.271821,"44.98705467+-93.41876031","44.975461+-93.271821",844
"19","T904",904,1330,44.97093432,-93.46991274,44.975461,-93.271821,"44.97093432+-93.46991274","44.975461+-93.271821",845
"20","T930",930,2013,44.95220938,-92.95037017,44.948402,-93.093526,"44.95220938+-92.95037017","44.948402+-93.093526",833
